Name,url,team
Casimir Ninga,/fr/player/231041/casimir-ninga/,SM Caen
Juan Ferney Otero,/fr/player/224428/juan-ferney-otero/,Amiens SC
Manu García,/fr/player/223978/manu-garc%C3%ADa/,Toulouse FC
Ambroise Oyongo,/fr/player/218540/ambroise-oyongo/,Montpellier HSC
Matt Miazga,/fr/player/215565/matt-miazga/,FC Nantes
Adrien Hunou,/fr/player/215245/adrien-hunou/,Stade Rennais
Harrison Manzala,/fr/player/214949/harrison-manzala/,Angers SCO
Rémi Walter,/fr/player/213313/r%C3%A9mi-walter/,OGC Nice
Adrien Tameze,/fr/player/213242/adrien-tameze/,OGC Nice
Jordan Marié,/fr/player/213030/jordan-mari%C3%A9/,Dijon FCO
Loïs Diony,/fr/player/212350/lo%C3%AFs-diony/,ASSE
Fouad Chafik,/fr/player/210434/fouad-chafik/,Dijon FCO
Maxime Poundjé,/fr/player/209301/maxime-poundj%C3%A9/,Girondins de BX
Florent Mollet,/fr/player/209288/florent-mollet/,Montpellier HSC
Thomas Foket,/fr/player/208509/thomas-foket/,Stade de Reims
Stef Peeters,/fr/player/206577/stef-peeters/,SM Caen
Pablo Chavarría,/fr/player/199387/pablo-chavarr%C3%ADa/,Stade de Reims
Vincent Pajot,/fr/player/198836/vincent-pajot/,Angers SCO
Aymen Abdennour,/fr/player/198076/aymen-abdennour/,OM
Yaya Sanogo,/fr/player/196932/yaya-sanogo/,Toulouse FC
Rene Krhin,/fr/player/192205/rene-krhin/,FC Nantes
Grégory Sertic,/fr/player/190502/gr%C3%A9gory-sertic/,OM
Igor Lewczuk,/fr/player/188762/igor-lewczuk/,Girondins de BX
Frédéric Sammaritano,/fr/player/187988/fr%C3%A9d%C3%A9ric-sammaritano/,Dijon FCO
Lamine Koné,/fr/player/184082/lamine-kon%C3%A9/,RC Strasbourg
Jérémy Pied,/fr/player/183916/j%C3%A9r%C3%A9my-pied/,LOSC
Mapou Yanga-Mbiwa,/fr/player/181560/mapou-yanga-mbiwa/,OL
Romain Genevois,/fr/player/181456/romain-genevois/,SM Caen
Jakob Johansson,/fr/player/181383/jakob-johansson/,Stade Rennais
Eiji Kawashima,/fr/player/180739/eiji-kawashima/,RC Strasbourg
Romain Danzé,/fr/player/178251/romain-danz%C3%A9/,Stade Rennais
Kévin Monnet-Paquet,/fr/player/177712/k%C3%A9vin-monnet-paquet/,ASSE
Jérémy Sorbon,/fr/player/167936/j%C3%A9r%C3%A9my-sorbon/,EA Guingamp
